Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Latitude,Longitude,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1988,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Mauritania,MRT,Western Africa,Africa,Guidimakha,14.96,-12.32722,,,,,,,,,Vaccinated,,,,,1988,8,,1988,8,,38,,575,,575,,,,46.25655683
2005,Natural,Hydrological,Flood,Riverine flood,,,Affected,Mauritania,MRT,Western Africa,Africa,Guidimakha,16.55,-11.32,Heavy rains,Broken Dam/Burst bank,,Yes,,,,147100,Km2,,,,,2005,9,27,2005,9,30,,,7500,,7500,,,,76.38802721
2007,Natural,Hydrological,Flood,Riverine flood,,,Affected,Mauritania,MRT,Western Africa,Africa,Guidimakha,16.55,-11.32,Heavy rains,,,,Yes,,,9500,Km2,16.55,-11.32,,,2007,8,7,2007,9,5,2,,53620,,53620,,,,81.10165893
2017,Natural,Climatological,Drought,Drought,,,Affected,Mauritania,MRT,Western Africa,Africa,Guidimakha,14.96,-12.32722,Lack of rain,Food shortage,,,,,,,Km2,,,,,2017,4,,2017,8,,,,3893774,,3893774,,,,95.87816577
1998,Technological,Technological,Transport accident,Air,,XIAN Y-7,Kill,Mauritania,MRT,Western Africa,Africa,Nema,16.61702,-7.25649,,,,,,,,,,,,,,1998,5,13,1998,5,13,39,3,,,3,,,,63.76045524
2000,Technological,Technological,Transport accident,Water,,"Trawler ""Orcados""",Kill,Mauritania,MRT,Western Africa,Africa,Nouadhibou,20.93098,-17.03465,,,,,,,,,,,,,,2000,7,21,2000,7,21,13,,,,,,,,67.35575898
2006,Technological,Technological,Transport accident,Water,,,Kill,Mauritania,MRT,Western Africa,Africa,Nouadhibou,20.93098,-17.03465,,,,,No,No,,,,,,,,2006,3,6,2006,3,6,19,,24,,24,,,,78.85225551
2007,Technological,Technological,Transport accident,Water,,,Kill,Mauritania,MRT,Western Africa,Africa,Nouadhibou,20.93098,-17.03465,,,,,No,No,,,,,,,,2007,10,16,2007,11,5,56,,,,,,,,81.10165893
1988,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Mauritania,MRT,Western Africa,Africa,Nouakchott,18.079021,-15.965662,,,,,,,,,Vaccinated,,,,,1988,8,,1988,8,,38,,575,,575,,,,46.25655683
1991,Natural,Meteorological,Storm,,,,Affect,Mauritania,MRT,Western Africa,Africa,Nouakchott,18.079021,-15.965662,,,,,,,,,Kph,,,,,1991,6,2,1991,6,2,4,300,,,300,,,,53.27115662
